"Component Ref ID"; "Pin Ref ID"; "Net Name"; "Mount"; "Side"; posX; posY
"U1"; "E13"; "NetR16_1"; "SMD"; "TOP";22.8616; -59.3674
"U1"; "E12"; "DGND"; "SMD"; "TOP";22.8616; -60.6374
"U1"; "E11"; "DGND"; "SMD"; "TOP";22.8616; -61.9074
"U1"; "E10"; "DGND"; "SMD"; "TOP";22.8616; -63.1774
"U1"; "E9"; "DGND"; "SMD"; "TOP";22.8616; -64.4474
"U1"; "E8"; "DGND"; "SMD"; "TOP";22.8616; -65.7174
"U1"; "E7"; "DGND"; "SMD"; "TOP";22.8616; -66.9874
"U1"; "E6"; "DGND"; "SMD"; "TOP";22.8616; -68.2574
"U1"; "E5"; "DGND"; "SMD"; "TOP";22.8616; -69.5274
"U1"; "E4"; "PMIC_INT"; "SMD"; "TOP";22.8616; -70.7974
"U1"; "E3"; " N/C_00073"; "SMD"; "TOP";22.8616; -72.0674
"U1"; "E2"; " N/C_00072"; "SMD"; "TOP";22.8616; -73.3374
"U1"; "E1"; "PRU1_30_11"; "SMD"; "TOP";22.8616; -74.6074
"U1"; "F16"; "NetR248_2"; "SMD"; "TOP";24.1316; -55.5574
"U1"; "F15"; " N/C_00094"; "SMD"; "TOP";24.1316; -56.8274
"U1"; "F14"; "RMII1_CRS_DV"; "SMD"; "TOP";24.1316; -58.0974
"U1"; "F13"; "VDD_MPU"; "SMD"; "TOP";24.1316; -59.3674
"U1"; "F12"; "DGND"; "SMD"; "TOP";24.1316; -60.6374
"U1"; "F11"; "SYS_VDD2_3P3V"; "SMD"; "TOP";24.1316; -61.9074
"U1"; "F10"; "SYS_VDD_1P8V"; "SMD"; "TOP";24.1316; -63.1774
"U1"; "F9"; "SYS_VDD3_3P3V"; "SMD"; "TOP";24.1316; -64.4474
"U1"; "F8"; "SYS_VDD3_3P3V"; "SMD"; "TOP";24.1316; -65.7174
"U1"; "F7"; "SYS_VDD1_3P3V"; "SMD"; "TOP";24.1316; -66.9874
"U1"; "F6"; "SYS_VDD1_3P3V"; "SMD"; "TOP";24.1316; -68.2574
